dist	Gene	pairLabel
5.990166	CD36	Nuc8_gene1_SE51
3.492074	CD36	Nuc8_gene2_SE51
1.80778	CD36	Nuc8_gene3_SE51
2.677444	CD36	Nuc8_gene1_SE52
4.626714	CD36	Nuc8_gene2_SE52
5.979411	CD36	Nuc8_gene3_SE52
5.686746	CD36	Nuc8_gene1_SE53
5.109044	CD36	Nuc8_gene2_SE53
3.273317	CD36	Nuc8_gene3_SE53
5.006525	CD36	Nuc8_gene1_SE54
1.192348	CD36	Nuc8_gene2_SE54
2.870922	CD36	Nuc8_gene3_SE54
7.756011	CD36	Nuc8_gene1_SE55
4.301471	CD36	Nuc8_gene2_SE55
2.646324	CD36	Nuc8_gene3_SE55
2.990972	CD36	Nuc8_gene1_SE56
1.94808	CD36	Nuc8_gene2_SE56
4.354352	CD36	Nuc8_gene3_SE56
4.557622	CD36	Nuc8_gene1_SE57
2.366425	CD36	Nuc8_gene2_SE57
2.160875	CD36	Nuc8_gene3_SE57
4.172121	CD36	Nuc8_gene1_SE58
3.736868	CD36	Nuc8_gene2_SE58
3.212806	CD36	Nuc8_gene3_SE58
6.537005	CD36	Nuc8_gene1_SE59
4.612385	CD36	Nuc8_gene2_SE59
2.078719	CD36	Nuc8_gene3_SE59
7.585461	CD36	Nuc8_gene1_SE60
3.54289	CD36	Nuc8_gene2_SE60
3.510601	CD36	Nuc8_gene3_SE60
5.566276	CD36	Nuc8_gene1_SE61
2.470631	CD36	Nuc8_gene2_SE61
1.077932	CD36	Nuc8_gene3_SE61
3.289585	CD36	Nuc8_gene1_SE62
2.356776	CD36	Nuc8_gene2_SE62
4.762681	CD36	Nuc8_gene3_SE62
6.372368	CD36	Nuc8_gene1_SE63
4.696183	CD36	Nuc8_gene2_SE63
2.122766	CD36	Nuc8_gene3_SE63
4.071997	CD36	Nuc8_gene1_SE64
2.65403	CD36	Nuc8_gene2_SE64
4.025405	CD36	Nuc8_gene3_SE64
7.735078	CD36	Nuc8_gene1_SE65
3.817734	CD36	Nuc8_gene2_SE65
2.022814	CD36	Nuc8_gene3_SE65
5.679493	CD36	Nuc8_gene1_SE66
3.695901	CD36	Nuc8_gene2_SE66
2.907694	CD36	Nuc8_gene3_SE66
5.913792	CD36	Nuc8_gene1_SE67
4.675576	CD36	Nuc8_gene2_SE67
2.861219	CD36	Nuc8_gene3_SE67
7.219833	CD36	Nuc8_gene1_SE68
2.70978	CD36	Nuc8_gene2_SE68
2.915231	CD36	Nuc8_gene3_SE68
7.991018	CD36	Nuc8_gene1_SE69
3.694578	CD36	Nuc8_gene2_SE69
2.422464	CD36	Nuc8_gene3_SE69
6.924648	CD36	Nuc8_gene1_SE70
2.911383	CD36	Nuc8_gene2_SE70
3.565022	CD36	Nuc8_gene3_SE70
7.662126	CD36	Nuc8_gene1_SE71
4.298194	CD36	Nuc8_gene2_SE71
3.004541	CD36	Nuc8_gene3_SE71
1.522833	CD36	Nuc9_gene1_SE1
7.918064	CD36	Nuc9_gene2_SE1
3.293003	CD36	Nuc9_gene1_SE2
8.324941	CD36	Nuc9_gene2_SE2
3.091139	CD36	Nuc9_gene1_SE3
7.938444	CD36	Nuc9_gene2_SE3
2.230038	CD36	Nuc9_gene1_SE4
7.699949	CD36	Nuc9_gene2_SE4
1.621863	CD36	Nuc9_gene1_SE5
8.430041	CD36	Nuc9_gene2_SE5
3.744179	CD36	Nuc9_gene1_SE6
7.430796	CD36	Nuc9_gene2_SE6
3.68831	CD36	Nuc9_gene1_SE7
8.922707	CD36	Nuc9_gene2_SE7
1.292712	CD36	Nuc9_gene1_SE8
7.782902	CD36	Nuc9_gene2_SE8
2.347172	CD36	Nuc9_gene1_SE9
7.623937	CD36	Nuc9_gene2_SE9
3.333496	CD36	Nuc9_gene1_SE10
7.606514	CD36	Nuc9_gene2_SE10
2.424316	CD36	Nuc9_gene1_SE11
8.957746	CD36	Nuc9_gene2_SE11
1.390139	CD36	Nuc9_gene1_SE12
8.24622	CD36	Nuc9_gene2_SE12
3.087724	CD36	Nuc9_gene1_SE13
7.497792	CD36	Nuc9_gene2_SE13
2.509206	CD36	Nuc9_gene1_SE14
